"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
73,174,"PAN","Panama",2,"Chiriquí",11,"Gualaca",73,"Hornito","Corregimiento","Municipality",NA,NA
74,174,"PAN","Panama",2,"Chiriquí",11,"Gualaca",74,"Los Angeles","Corregimiento","Municipality",NA,NA
75,174,"PAN","Panama",2,"Chiriquí",11,"Gualaca",75,"Paja de Sombrero","Corregimiento","Municipality",NA,NA
76,174,"PAN","Panama",2,"Chiriquí",11,"Gualaca",76,"Rincón","Corregimiento","Municipality",NA,NA
77,174,"PAN","Panama",2,"Chiriquí",12,"Remedios",77,"El Nancito","Corregimiento","Municipality",NA,NA
78,174,"PAN","Panama",2,"Chiriquí",12,"Remedios",78,"El Porvenir","Corregimiento","Municipality",NA,NA
79,174,"PAN","Panama",2,"Chiriquí",12,"Remedios",79,"El Puerto","Corregimiento","Municipality",NA,NA
80,174,"PAN","Panama",2,"Chiriquí",12,"Remedios",80,"Remedios","Corregimiento","Municipality",NA,NA
81,174,"PAN","Panama",2,"Chiriquí",12,"Remedios",81,"Santa Lucía","Corregimiento","Municipality",NA,NA
82,174,"PAN","Panama",2,"Chiriquí",13,"Renacimiento",82,"Breñón","Corregimiento","Municipality",NA,NA
83,174,"PAN","Panama",2,"Chiriquí",13,"Renacimiento",83,"Cañas Gordas","Corregimiento","Municipality",NA,NA
84,174,"PAN","Panama",2,"Chiriquí",13,"Renacimiento",84,"Monte Lirio","Corregimiento","Municipality",NA,NA
85,174,"PAN","Panama",2,"Chiriquí",13,"Renacimiento",85,"Plaza Caisán","Corregimiento","Municipality",NA,NA
